yogafire 2017-04-07 00:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940  84288 314152 2197260    0    0   179    17  122   76  0  0 100  0
 2  0   2940  85444 313128 2197416    0    0   213     7  153   93  1  0 99  0
yogafire 2017-04-07 00:40:02
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2940  85624 312136 2197616    0    0     1     1    0    0  0  0 99  0
 0  0   2940  82544 312164 2201680    0    0   273    39  197  118  1  0 98  0
 0  0   2940  86240 310380 2200300    0    0   295     7  130   77  0  0 99  0
 0  0   2940  84800 310384 2203064    0    0   188    12  104   74  0  0 100  0
 0  0   2940  86480 309368 2202440    0    0   128     1  143   93  0  1 99  0
 0  0   2940  85808 309404 2203028    0    0    43    35  191  128  1  1 98  0
 0  0   2940  83908 309412 2204480    0    0    95    14  144   95  0  0 99  0
 0  0   2940  84056 308652 2205448    0    0   247     7  115   75  0  0 99  0
 0  0   2940  83668 307632 2206636    0    0   256     5  148   92  0  1 99  0
 0  0   2940  82608 307632 2207912    0    0    85    10  116   77  0  0 100  0
 0  0   2940  82960 306872 2208680    0    0   230     1  114   74  0  0 100  0
 0  0   2940  85968 305852 2208300    0    0   162     5  111   75  0  0 99  0
 0  0   2940  83776 305852 2211884    0    0   230     3  160   96  0  1 99  0
 0  0   2940  84928 305092 2212004    0    0   188     5  126   78  0  0 99  0
 0  0   2940  83192 305096 2213888    0    0   128     6  110   80  0  0 100  0
 0  0   2940  84720 304076 2213668    0    0   162     1  109   72  0  0 99  0
 0  0   2940  85088 303336 2213584    0    0   173    31  211  126  1  1 97  0
 0  0   2940  82512 303340 2215512    0    0   127    15  125   80  0  0 100  0
 0  0   2940  84856 301572 2213372    0    0   213    36  222  151  2  1 97  0
 0  0   2940  82368 301600 2215852    0    0   162    32  142   99  0  0 99  0
 0  0   2940  86456 299556 2213580    0    0   265    12  147  100  0  1 98  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2940  85748 299568 2214880    0    0    85     8  104   68  0  0 100  0
 0  0   2940  83956 299568 2216964    0    0   137     1  100   67  0  0 100  0
 0  0   2940  84544 298548 2217220    0    0   222     7  110   75  0  0 100  0
 0  0   2940  84920 297532 2217348    0    0   188     1  140   83  0  1 99  0
 0  0   2940  87072 297544 2220000    0    0   177     5  136   75  0  0 99  0
 1  0   2940  84460 296792 2221888    0    0   307   100  204  130  1  1 98  0
 0  0   2940  85516 295808 2221328    0    0   137    36  176  119  1  0 99  0
 0  0   2940  85284 294804 2220688    0    0   188    30  224  139  0  1 98  0
 0  0   2940  83712 294808 2222536    0    0   119    22  117   73  0  0 100  0
 0  0   2940  84572 293788 2222608    0    0   188     3  114   72  0  0 100  0
 0  0   2940  85764 293028 2222484    0    0   171    10  103   69  0  0 100  0
 0  0   2940  82916 293036 2224988    0    0   162     1  131   80  0  0 99  0
 0  0   2940  84300 292020 2225556    0    0   222     5  129   72  0  0 99  0
 0  0   2940  87508 291256 2225840    0    0   196     4  134   79  0  0 99  0
 0  0   2940  86812 291264 2229736    0    0   265     3  117   78  0  0 100  0
 0  0   2940  86916 290244 2228988    0    0   154     3  144  100  0  1 99  0
 0  0   2940  86244 290248 2230416    0    0    94     9  118   76  0  0 100  0
 0  0   2940  84012 290248 2232540    0    0   145     3  108   72  0  0 100  0
 0  0   2940  85656 289228 2232628    0    0   205     1  106   69  0  0 100  0
 3  1   2940  86620 287964 2231904    0    0   191     5  127   79  0  1 98  0
 0  1   2940  68776 301864 2216732    0    0  4659    85 1724 1173  2  6 74 18
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  1   2940 181780 302056 2087868    0    0  3074   181 1866 1226  3  7 74 16
 2  1   2944 1945000 312476 270048    0    0  3848   496 2104 1279  3  6 75 16
 0  3   2956 1897652 303916 311160    0    1  4273   178 1614 1110  2  6 64 27
 0  1   2964 1818248 295688 390816    0    1  7273   639 1761 1109  3  6 70 20
 0  0   2964 1842024 294536 378760    0    0   747   109  417  283  1  1 91  6
 0  0   2964 1839092 294548 381412    0    0   171   114  115   76  0  0 99  0
 0  0   2964 1831596 294620 384960    0    0   233    37  250  151  0  1 98  1
 0  0   2964 1828536 294640 388164    0    0   213    11  129   77  0  0 99  0
 0  0   2964 1825816 294652 390980    0    0   188    21  116   74  0  0 100  0
 0  0   2964 1823184 294660 393796    0    0   188     1  117   70  0  0 100  0
 0  0   2964 1819244 294668 397124    0    0   222     3  142   90  0  1 99  0
 0  0   2964 1820908 294676 397452    0    0    22     5  139   90  0  0 99  0
 0  0   2964 1818780 294692 400092    0    0   178     3  117   72  0  0 100  0
 0  0   2964 1815464 294696 403420    0    0   222     4   97   69  0  0 100  0
 0  0   2964 1814448 294704 406328    0    0   196     2  135   80  0  1 99  0
 0  0   2964 1812252 294708 408576    0    0   145     5  120   76  0  0 99  0
 0  0   2964 1808288 294716 412636    0    0   273     5  114   74  0  0 99  0
 0  0   2964 1805248 294724 415584    0    0   196     1  106   76  0  0 100  0
 0  0   2964 1801748 294756 418668    0    0   212     2  161   97  0  2 97  0
 1  0   2964 1801560 294764 419932    0    0    77     9  123   75  0  0 100  0
 0  0   2964 1798552 294772 422840    0    0   196     2  114   78  0  0 99  0
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 0  0   2964 1797596 294780 424040    0    0    78     3  101   77  0  0 100  0
 0  0   2964 1797100 294788 424040    0    0     0     3  113   81  0  1 99  0
 0  0   2964 1797224 294792 424040    0    0     0     5  105   73  0  0 100  0
 0  0   2964 1797852 294800 424048    0    0     0     4  121   81  0  0 100  0
 0  0   2964 1797852 294812 424048    0    0     0     4   92   66  0  0 100  0
 0  0   2964 1795464 294820 424108    0    0     4    10  156  105  0  1 99  0
 0  0   2964 1795084 294836 424112    0    0     0    19  118   80  0  0 100  0
 0  0   2964 1794704 294864 424120    0    0     0    10  101   73  0  0 100  0
 0  0   2964 1794828 294868 424120    0    0     0    10   78   68  0  0 100  0
 0  0   2964 1794200 294868 424120    0    0     0     1  103   79  0  1 99  0
 0  0   2964 1795464 294872 424120    0    0     0     5  107   72  0  0 100  0
 0  0   2964 1794952 294888 424124    0    0     0     6  113   90  0  0 100  0
 0  0   2964 1795084 294896 424124    0    0     0     1   79   71  0  0 100  0
 0  0   2964 1795324 294904 424124    0    0     0     3  128   86  0  1 99  0
 0  0   2964 1796736 294912 424128    0    0     0     6   99   71  0  0 100  0
 0  0   2964 1796736 294920 424128    0    0     0     3   93   70  0  0 100  0
 0  0   2964 1796736 294928 424128    0    0     0     5   95   75  0  0 100  0
yogafire 2017-04-07 01:00:01
procs -----------memory---------- ---swap-- -----io---- -system-- ----cpu----
 r  b   swpd   free   buff  cache   si   so    bi    bo   in   cs us sy id wa
 3  0   2952 1796768 294936 424128    0    0     1     1    0    0  0  0 99  0
 0  0   2952 1796620 294944 424128    0    0     0     5  122   72  0  0 100  0
 0  0   2952 1796620 294952 424128    0    0     0     5  123   86  0  0 100  0
 0  0   2952 1796620 294956 424128    0    0     0     2   87   69  0  0 100  0
 0  0   2952 1793528 294996 425776    0    0   108    31  228  147  1  1 98  0
 0  0   2952 1793396 295004 425760    0    0     0    14  106   70  0  0 100  0
 0  0   2952 1793396 295016 425760    0    0     0     7   92   66  0  0 100  0
 1  0   2952 1793396 295024 425760    0    0     0     1   91   70  0  0 100  0
 0  0   2952 1790068 295080 426264    0    0    31    61  240  159  1  1 98  0
 0  0   2952 1790100 295104 426276    0    0     0    14  121   78  0  0 100  0
